                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2755,                 2.5061,                 1.4689,                0.40228,                0.45261,                0.37298,                0.22834,                 1.3435,                 1.9221,                 1.5297,                0.07001,              0.0033322,              0.0033322
                      1,                 1.3685,                 2.2514,                 1.5444,                0.37258,                 0.4008,                0.31522,                 0.1833,                 1.4851,                 2.1919,                 1.6842,               0.039973,              0.0066289,              0.0066289
                      2,                 1.4899,                 2.4766,                 1.6566,                0.32124,                0.32125,                0.24096,                0.12855,                 1.6393,                 2.5231,                  1.817,                 0.0099,              0.0098889,              0.0098889
                      3,                 1.5431,                 2.5892,                 1.7123,                0.35605,                 0.3689,                0.29672,                0.16843,                 1.5595,                 2.2857,                 1.7778,               0.009835,               0.009835,               0.009835
                      4,                 1.4726,                   2.42,                 1.6667,                0.38098,                0.39806,                0.33019,                0.19336,                 1.4742,                 2.1398,                 1.6897,               0.009835,               0.009835,               0.009835
                      5,                 1.4317,                 2.3083,                 1.6299,                0.39988,                0.40761,                0.35176,                0.21135,                 1.4496,                 2.0568,                 1.6668,                0.00978,                0.00978,                0.00978
                      6,                 1.4019,                  2.221,                 1.6105,                0.40741,                 0.4369,                0.36853,                0.22238,                 1.4161,                 1.9963,                  1.649,               0.009725,               0.009725,               0.009725
                      7,                 1.3699,                 2.1622,                 1.5857,                0.41665,                 0.4433,                0.37878,                0.23214,                 1.3981,                 1.9413,                 1.6305,                0.00967,                0.00967,                0.00967
                      8,                 1.3524,                 2.1132,                 1.5772,                0.41741,                0.45471,                0.39255,                0.23997,                 1.3736,                 1.8982,                 1.6244,               0.009615,               0.009615,               0.009615
                      9,                 1.3416,                 2.0743,                 1.5651,                0.42622,                0.46636,                0.39865,                0.24903,                 1.3572,                 1.8722,                    1.6,                0.00956,                0.00956,                0.00956
                     10,                 1.3229,                 2.0354,                 1.5502,                0.42768,                0.47237,                0.40714,                0.25375,                 1.3374,                 1.8296,                 1.5984,               0.009505,               0.009505,               0.009505
                     11,                 1.3095,                 2.0003,                 1.5469,                0.43676,                0.47509,                0.41438,                0.26061,                 1.3322,                 1.8068,                  1.589,                0.00945,                0.00945,                0.00945
                     12,                 1.3016,                 1.9775,                 1.5392,                0.44484,                0.47817,                0.42002,                0.26274,                 1.3197,                 1.7841,                 1.5778,               0.009395,               0.009395,               0.009395
                     13,                 1.2914,                 1.9506,                 1.5271,                0.44599,                0.48353,                0.42658,                0.26985,                 1.3081,                 1.7643,                 1.5699,                0.00934,                0.00934,                0.00934
                     14,                 1.2748,                 1.9325,                 1.5214,                0.44671,                0.48471,                0.42838,                0.27123,                 1.3015,                 1.7594,                 1.5669,               0.009285,               0.009285,               0.009285
                     15,                 1.2769,                 1.9144,                 1.5192,                0.45713,                0.48066,                0.43251,                 0.2755,                 1.2952,                 1.7387,                 1.5544,                0.00923,                0.00923,                0.00923
                     16,                 1.2668,                 1.8873,                 1.5089,                0.44891,                0.49741,                0.43722,                0.27852,                 1.2897,                 1.7222,                  1.551,               0.009175,               0.009175,               0.009175
                     17,                 1.2614,                 1.8764,                 1.5002,                0.45404,                 0.5005,                0.44284,                0.28189,                 1.2811,                 1.7137,                 1.5411,                0.00912,                0.00912,                0.00912
                     18,                 1.2571,                 1.8601,                  1.502,                0.45124,                 0.5021,                0.44303,                0.28383,                 1.2719,                 1.7027,                 1.5394,               0.009065,               0.009065,               0.009065
                     19,                 1.2491,                 1.8437,                 1.4969,                0.45554,                0.50158,                0.44298,                 0.2846,                 1.2687,                 1.6964,                 1.5382,                0.00901,                0.00901,                0.00901
                     20,                 1.2432,                 1.8357,                 1.4923,                0.45532,                0.50151,                0.44497,                0.28631,                 1.2623,                  1.692,                 1.5303,               0.008955,               0.008955,               0.008955
                     21,                 1.2419,                 1.8164,                  1.487,                0.45999,                0.50566,                0.44624,                0.28783,                 1.2593,                 1.6838,                 1.5278,                 0.0089,                 0.0089,                 0.0089
                     22,                 1.2285,                 1.8009,                 1.4835,                0.45895,                  0.509,                0.44972,                 0.2902,                 1.2582,                 1.6734,                 1.5283,               0.008845,               0.008845,               0.008845
                     23,                 1.2243,                 1.7912,                 1.4779,                0.46811,                0.50268,                0.45183,                0.29184,                 1.2571,                 1.6663,                 1.5254,                0.00879,                0.00879,                0.00879
                     24,                 1.2185,                 1.7769,                   1.47,                0.47913,                0.49755,                0.45357,                0.29311,                  1.252,                 1.6631,                 1.5191,               0.008735,               0.008735,               0.008735
                     25,                  1.219,                 1.7744,                 1.4692,                0.46844,                0.50497,                0.45454,                 0.2938,                 1.2514,                 1.6606,                 1.5193,                0.00868,                0.00868,                0.00868
                     26,                 1.2188,                 1.7667,                 1.4688,                0.46908,                 0.5043,                0.45434,                0.29396,                 1.2499,                  1.658,                 1.5185,               0.008625,               0.008625,               0.008625
                     27,                  1.216,                 1.7595,                 1.4646,                0.46537,                0.50758,                0.45467,                0.29435,                 1.2491,                 1.6567,                 1.5185,                0.00857,                0.00857,                0.00857
